index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago
334,0.86015,0.943687,0.913891,0.446988,0.870455,0.895509
335,0.861921,0.944079,0.914519,0.454424,0.873177,0.898587
336,0.863963,0.945551,0.914519,0.461899,0.875814,0.901348
337,0.865743,0.945649,0.917033,0.467813,0.878148,0.904
338,0.867365,0.946238,0.917033,0.473116,0.880256,0.906299
339,0.868885,0.946532,0.917662,0.477814,0.882069,0.908026
340,0.870262,0.946532,0.917662,0.482005,0.883854,0.909352
341,0.871622,0.947317,0.917662,0.485642,0.88547,0.910507
342,0.872922,0.948102,0.917662,0.48846,0.886781,0.911201
343,0.874187,0.948886,0.917662,0.490562,0.887801,0.91131
344,0.875433,0.950162,0.918919,0.492219,0.888551,0.911481
345,0.876496,0.95026,0.918919,0.493594,0.889204,0.911541
346,0.877485,0.950554,0.919547,0.494833,0.889831,0.911566
347,0.878501,0.950751,0.923319,0.495434,0.890475,0.911614
348,0.879568,0.950849,0.923319,0.495959,0.891158,0.911687
349,0.880586,0.951437,0.923947,0.497055,0.891757,0.911797
350,0.881689,0.951732,0.923947,0.498393,0.892397,0.912052
351,0.88291,0.951928,0.923947,0.500014,0.893218,0.912247
352,0.884139,0.952222,0.925204,0.50205,0.894275,0.912721
353,0.885371,0.953007,0.925204,0.504813,0.895703,0.913804
354,0.88667,0.953596,0.925204,0.508338,0.897208,0.915118
355,0.887989,0.954184,0.925204,0.512436,0.898754,0.916444
356,0.889331,0.954577,0.925204,0.517012,0.900325,0.918037
357,0.89069,0.955165,0.925204,0.522138,0.901978,0.919996
358,0.892163,0.956441,0.925204,0.527888,0.903845,0.922003
359,0.893657,0.957618,0.930861,0.535265,0.905823,0.924411
360,0.895255,0.957912,0.933375,0.542825,0.907751,0.926759
361,0.89664,0.958599,0.935889,0.548924,0.909487,0.928401
362,0.897959,0.959188,0.936518,0.554391,0.910945,0.929715
363,0.899093,0.959384,0.936518,0.559162,0.912279,0.930846
364,0.900311,0.959973,0.936518,0.563406,0.913523,0.93205
365,0.901498,0.960757,0.936518,0.567097,0.914624,0.932926
366,0.902597,0.961052,0.936518,0.569924,0.915609,0.933839
367,0.903653,0.961248,0.936518,0.571948,0.916349,0.934045
368,0.904678,0.962229,0.939032,0.573511,0.916892,0.934179
369,0.905538,0.96321,0.939032,0.574804,0.91737,0.934191
370,0.906338,0.963504,0.939032,0.575986,0.917819,0.934264
371,0.907114,0.963799,0.939032,0.576536,0.918291,0.934313
372,0.907943,0.964093,0.939032,0.577013,0.918762,0.934313
373,0.908742,0.96478,0.939661,0.578023,0.919206,0.934374
374,0.909522,0.965172,0.939661,0.579247,0.919624,0.934422
375,0.91032,0.96527,0.939661,0.580733,0.920177,0.93452
376,0.911253,0.96527,0.939661,0.582568,0.920949,0.935018
377,0.912202,0.965565,0.941546,0.585009,0.921887,0.935408
378,0.912999,0.965761,0.945946,0.588136,0.922946,0.935992
379,0.913887,0.966055,0.947203,0.591749,0.92393,0.936819
380,0.914754,0.966644,0.947203,0.595762,0.925011,0.937768
381,0.915747,0.967232,0.947203,0.60022,0.926131,0.939069
382,0.916693,0.968115,0.947203,0.605146,0.927353,0.940286
383,0.917691,0.9689,0.947832,0.611408,0.928634,0.942037
384,0.918872,0.969489,0.94846,0.617922,0.929877,0.943448
385,0.919851,0.969783,0.950346,0.623286,0.930922,0.945066
386,0.920678,0.970274,0.950346,0.628084,0.931832,0.945808
387,0.92146,0.970568,0.950346,0.632243,0.93267,0.946866
388,0.92224,0.971157,0.950346,0.635956,0.933444,0.947754
389,0.922996,0.971451,0.950346,0.639205,0.934171,0.948375
390,0.923689,0.97204,0.950974,0.641669,0.934726,0.948606
391,0.924323,0.97204,0.951603,0.643421,0.935173,0.948667
392,0.925003,0.972138,0.953488,0.644756,0.935476,0.948825
393,0.925517,0.972628,0.954745,0.645841,0.935741,0.948874
394,0.926063,0.972923,0.954745,0.646784,0.936014,0.94891
395,0.92656,0.973021,0.954745,0.647234,0.936322,0.94891
396,0.927075,0.973217,0.954745,0.647602,0.936631,0.948922
397,0.927607,0.973609,0.954745,0.648415,0.93694,0.949032
398,0.928107,0.973904,0.955374,0.649459,0.937236,0.949178
399,0.928652,0.9741,0.955374,0.65073,0.937587,0.949226
400,0.929303,0.974394,0.956631,0.652258,0.938104,0.949384
401,0.92988,0.974689,0.956631,0.65429,0.938773,0.949822
402,0.930397,0.975081,0.956631,0.656894,0.939486,0.950479
403,0.930977,0.975473,0.956631,0.659929,0.940176,0.951246
404,0.931553,0.975768,0.956631,0.663306,0.940842,0.952158
405,0.932184,0.976356,0.957888,0.667088,0.941645,0.953228
406,0.932896,0.976847,0.957888,0.67128,0.942497,0.954335
407,0.933672,0.977043,0.959774,0.676467,0.94337,0.955527
408,0.934351,0.977239,0.959774,0.681852,0.94426,0.956732
409,0.934989,0.977632,0.962288,0.686367,0.944986,0.957389
410,0.93553,0.97822,0.962916,0.690391,0.945677,0.958301
411,0.936068,0.979005,0.962916,0.693869,0.946321,0.958836
412,0.936632,0.979005,0.962916,0.696944,0.946941,0.959359
413,0.937174,0.979496,0.962916,0.699608,0.947499,0.959542
414,0.937681,0.979986,0.962916,0.701622,0.94794,0.959712
415,0.938194,0.979986,0.962916,0.703052,0.948291,0.959773
416,0.938613,0.980182,0.962916,0.704118,0.948544,0.959846
417,0.938972,0.980281,0.962916,0.704978,0.948753,0.959846
418,0.939353,0.980477,0.962916,0.705706,0.948966,0.959919
419,0.939773,0.981164,0.962916,0.706056,0.949157,0.959919
420,0.940203,0.981164,0.962916,0.706352,0.949352,0.959919
421,0.940595,0.981654,0.962916,0.706989,0.949526,0.959955
422,0.941004,0.98185,0.962916,0.707818,0.949714,0.959967
423,0.94144,0.98185,0.963545,0.708833,0.950002,0.960004
424,0.941887,0.98185,0.964802,0.710083,0.950353,0.96015
425,0.942368,0.982145,0.964802,0.7117,0.950768,0.960636
426,0.942823,0.982439,0.964802,0.713775,0.951225,0.961184
